region_id,aoi_id,aoi_type,deliveries,avg_duration,avg_distance,center_lng,center_lat,unique_couriers,city
1,450,1,91,317.56043956043953,4.454949828979057,121.52129736263737,31.066186153846154,7,Shanghai
1,525,14,8,103.875,2.256939710197886,121.53104875,31.09543875,5,Shanghai
1,614,14,4,47.0,3.730708516453145,121.51993,31.073145,1,Shanghai
1,642,14,56,68.03571428571429,2.729877617807243,121.51910714285714,31.131119464285714,3,Shanghai
1,768,14,40,124.875,4.961445083993992,121.56374275,31.078765249999996,4,Shanghai
1,815,14,4,51.75,2.5468693875697967,121.50689750000001,31.1262,4,Shanghai
1,911,0,435,182.7793103448276,3.550028854635301,121.51812367816093,31.076184091954023,10,Shanghai
1,937,14,3,88.33333333333333,3.773778179558034,121.55712,31.094620000000003,3,Shanghai
1,1016,14,12,89.75,4.249675190968021,121.5517625,31.09765916666667,3,Shanghai
1,1084,14,1,10.0,0.995090935909917,121.53081,31.11352,1,Shanghai
1,1193,14,43,55.83720930232558,2.028199549257389,121.54367395348838,31.11100093023256,4,Shanghai
1,1451,14,5,128.0,2.1696555356596745,121.53430800000001,31.100742000000004,3,Shanghai
1,1519,1,5,64.8,2.7201748514961546,121.501966,31.160186,1,Shanghai
1,1547,14,3,131.0,2.5241050260000253,121.55253666666665,31.105543333333333,2,Shanghai
1,1609,1,756,97.33333333333333,2.4434014440887655,121.50754345238096,31.124092685185186,11,Shanghai
1,1667,14,14,71.57142857142857,4.46198728018241,121.47711857142858,31.115626428571428,1,Shanghai
1,1716,14,8,84.75,4.301549307837634,121.55327,31.09412875,3,Shanghai
1,1782,14,1,35.0,3.526403329554747,121.54922,31.08374,1,Shanghai
1,1869,14,1,34.0,3.0190771122735045,121.55455,31.11066,1,Shanghai
1,1888,14,51,89.17647058823529,2.066767645239666,121.52405372549019,31.08771294117647,5,Shanghai
1,1920,10,2,54.5,2.5586047695006613,121.61721,31.15547,2,Shanghai
1,1959,14,1,76.0,3.4930009125761803,121.49495,31.12681,1,Shanghai
1,2131,14,14,145.42857142857142,5.840389229343148,121.51287357142857,31.05760785714286,3,Shanghai
1,2278,14,1,70.0,4.8950565075847905,121.56484,31.07828,1,Shanghai
1,2742,14,1,57.0,4.721915739411822,121.47583,31.11975,1,Shanghai
1,2825,1,795,88.26163522012578,2.31255265924723,121.50426660377359,31.120371547169814,8,Shanghai
1,2936,14,1,109.0,3.028553304505741,121.53178,31.01985,1,Shanghai
1,2987,14,2,118.5,4.266184207030095,121.564375,31.09276,1,Shanghai
1,3040,14,15,156.73333333333332,3.806725670296843,121.526512,31.073452,4,Shanghai
1,3125,1,40,111.05,4.765077856931225,121.52773549999999,31.06305125,4,Shanghai
1,3259,11,1,46.0,2.4584991143230055,121.50041,31.11704,1,Shanghai
1,3351,1,1498,165.86248331108143,2.2067833756361335,121.50964100133511,31.122855587449934,13,Shanghai
1,3441,14,1,28.0,0.8898308749036719,121.54726,31.07945,1,Shanghai
1,3543,14,22,84.27272727272727,1.4151519749997608,121.52164909090908,31.116913636363634,3,Shanghai
1,3719,14,2,49.0,1.7614522290729067,121.48021,31.161555,1,Shanghai
1,3778,1,248,95.35887096774194,4.532546820514359,121.53359137096774,31.06684358870968,8,Shanghai
1,3916,14,5,72.2,3.056671060025995,121.502118,31.12754,4,Shanghai
1,3965,1,21,89.61904761904762,2.040169848997187,121.54041761904762,31.095993333333332,5,Shanghai
1,4136,9,91,121.0989010989011,3.362555626733553,121.55866120879122,31.106707582417584,6,Shanghai
1,4316,14,71,39.12676056338028,1.6043188050309312,121.5153932394366,31.119870140845073,2,Shanghai
1,4461,1,1147,147.9380993897123,2.478576947257228,121.5052506102877,31.122826843940715,9,Shanghai
1,4554,4,3,46.333333333333336,1.13906667552214,121.53410000000001,31.10342,2,Shanghai
1,4845,14,1,59.0,0.08936767188900104,121.50301,31.03981,1,Shanghai
1,4884,14,1,130.0,2.5417139602207306,121.49803,31.11463,1,Shanghai
1,5120,14,5,47.6,2.1808840974036,121.52666400000001,31.126772,2,Shanghai
1,5198,14,2,48.0,8.923023739223723,121.537405,31.02862,1,Shanghai
1,5253,14,7,66.71428571428571,1.9640329310170677,121.50959,31.115991428571427,1,Shanghai
1,5515,14,2,163.5,4.393833926740522,121.55276,31.076005,2,Shanghai
1,5612,4,23,57.391304347826086,2.1951714140248106,121.52244173913044,31.127052173913043,2,Shanghai
1,5763,4,3,147.66666666666666,2.907622986313252,121.51187666666665,31.124056666666664,2,Shanghai
1,5862,14,7,96.85714285714286,1.9179431938521223,121.51319285714285,31.084562857142856,4,Shanghai
1,5875,14,4,45.5,2.95045837101996,121.55285,31.104589999999998,2,Shanghai
1,5957,14,30,63.46666666666667,2.306640827618772,121.518097,31.12849,2,Shanghai
1,5995,7,4,66.0,2.411533269260539,121.5283325,31.166755,1,Shanghai
1,6283,14,9,80.66666666666667,2.1580257952785136,121.47723222222223,31.139715555555554,5,Shanghai
1,6546,14,71,39.70422535211268,1.7061349179484537,121.51687154929577,31.12210042253521,3,Shanghai
1,6626,14,1,105.0,1.876233156467392,121.54053,31.09895,1,Shanghai
1,6724,1,67,137.91044776119404,2.7234479040365938,121.50784895522388,31.127694477611943,9,Shanghai
1,6929,14,1,39.0,2.538456194343645,121.53709,31.13484,1,Shanghai
1,7016,7,1,300.0,2.9009907325657465,121.5058,31.12861,1,Shanghai
1,7059,4,3,31.666666666666668,2.3222740032857856,121.50873333333334,31.124163333333332,2,Shanghai
1,7194,14,34,69.88235294117646,2.491362377540407,121.52155794117647,31.129531470588237,2,Shanghai
