dow,hour,deliveries,avg_duration,city
0,10,10345,169.67887868535524,Hangzhou
0,11,5839,135.70525774961467,Hangzhou
0,12,4627,122.14069591527988,Hangzhou
0,13,7537,102.47764362478439,Hangzhou
0,14,10078,88.04326255209367,Hangzhou
0,15,35860,85.87972671500279,Hangzhou
0,16,15441,96.22349588757204,Hangzhou
0,17,8681,64.18603847483008,Hangzhou
0,18,4934,56.90758005674909,Hangzhou
0,19,2027,55.77651702022693,Hangzhou
0,20,522,61.23371647509578,Hangzhou
0,21,235,52.36595744680851,Hangzhou
0,22,53,53.943396226415096,Hangzhou
0,23,13,80.46153846153847,Hangzhou
1,5,4,317.0,Hangzhou
1,6,83,198.32530120481928,Hangzhou
1,7,30843,170.09888791622086,Hangzhou
1,8,84566,189.9013669796372,Hangzhou
1,9,29787,193.27407929633733,Hangzhou
1,10,10759,175.28069523189887,Hangzhou
1,11,5054,135.42738425009892,Hangzhou
1,12,4886,124.96049938600082,Hangzhou
1,13,7528,106.0989638682253,Hangzhou
1,14,9627,89.6844292095149,Hangzhou
1,15,33428,85.7812313030992,Hangzhou
1,16,17832,92.45171601615074,Hangzhou
1,17,8585,68.87967384973791,Hangzhou
1,18,4773,55.087575948041064,Hangzhou
1,19,1924,50.41268191268191,Hangzhou
1,20,518,45.664092664092664,Hangzhou
1,21,187,32.01069518716577,Hangzhou
1,22,38,24.973684210526315,Hangzhou
1,23,8,10.875,Hangzhou
2,5,3,351.6666666666667,Hangzhou
2,6,136,187.6764705882353,Hangzhou
2,7,32280,168.1918215613383,Hangzhou
2,8,84079,190.87083576160515,Hangzhou
2,9,29614,191.8019180117512,Hangzhou
2,10,10246,168.2521959789186,Hangzhou
2,11,5918,141.9156809733018,Hangzhou
2,12,5403,126.35406255783823,Hangzhou
2,13,8429,106.24664847550125,Hangzhou
2,14,11666,94.8132178981656,Hangzhou
2,15,33988,86.84126750617865,Hangzhou
2,16,18424,102.3198545375597,Hangzhou
2,17,12153,80.04147124166873,Hangzhou
2,18,6070,68.91515650741351,Hangzhou
2,19,2396,61.5797161936561,Hangzhou
2,20,667,46.169415292353825,Hangzhou
2,21,277,41.29963898916967,Hangzhou
2,22,67,19.940298507462686,Hangzhou
2,23,20,12.0,Hangzhou
3,0,1,1419.0,Hangzhou
3,4,4,169.0,Hangzhou
3,5,113,170.76106194690266,Hangzhou
3,6,681,165.9691629955947,Hangzhou
3,7,33689,171.20629879189053,Hangzhou
3,8,80677,189.93801207283366,Hangzhou
3,9,28862,193.86872011641606,Hangzhou
3,10,12357,176.94003398883225,Hangzhou
3,11,7658,148.03316792896317,Hangzhou
3,12,6090,124.94794745484401,Hangzhou
3,13,8950,108.44893854748604,Hangzhou
3,14,13464,100.87061794414736,Hangzhou
3,15,33892,95.25309807624218,Hangzhou
3,16,22047,101.97301220120652,Hangzhou
3,17,10102,80.02633141952089,Hangzhou
3,18,6637,67.41569986439656,Hangzhou
3,19,2784,64.68318965517241,Hangzhou
3,20,943,52.170731707317074,Hangzhou
3,21,366,49.94808743169399,Hangzhou
3,22,94,24.180851063829788,Hangzhou
3,23,30,46.5,Hangzhou
4,3,1,45.0,Hangzhou
4,4,28,163.60714285714286,Hangzhou
4,5,242,149.61157024793388,Hangzhou
4,6,726,166.36363636363637,Hangzhou
4,7,31523,173.7861878628303,Hangzhou
4,8,81574,192.76988991590457,Hangzhou
4,9,31845,196.6286701208981,Hangzhou
4,10,14185,173.7785689108213,Hangzhou
4,11,7826,146.37055967288526,Hangzhou
4,12,6637,127.27934307669128,Hangzhou
4,13,8935,109.72904308897594,Hangzhou
4,14,12367,94.67389019163905,Hangzhou
4,15,34179,93.24740337634219,Hangzhou
4,16,20577,101.30981192593673,Hangzhou
4,17,9059,73.3029031901976,Hangzhou
4,18,6379,61.939802476877254,Hangzhou
4,19,2535,66.8930966469428,Hangzhou
4,20,711,50.79887482419128,Hangzhou
4,21,227,33.77533039647577,Hangzhou
4,22,80,17.6375,Hangzhou
4,23,28,9.607142857142858,Hangzhou
5,4,1,246.0,Hangzhou
5,5,35,114.34285714285714,Hangzhou
5,6,736,184.2445652173913,Hangzhou
5,7,32191,173.9885371687739,Hangzhou
5,8,83672,191.67542308060044,Hangzhou
5,9,31280,194.28065856777494,Hangzhou
5,10,12112,170.17874834874505,Hangzhou
5,11,6825,141.99663003663002,Hangzhou
5,12,5292,120.82482993197279,Hangzhou
5,13,7558,103.03519449589838,Hangzhou
5,14,11939,86.55448530027641,Hangzhou
5,15,33030,91.18080532848926,Hangzhou
5,16,20403,93.21491937460178,Hangzhou
5,17,9923,71.47284087473547,Hangzhou
5,18,6824,60.21805392731536,Hangzhou
5,19,2430,56.791358024691355,Hangzhou
5,20,690,60.6,Hangzhou
5,21,296,43.057432432432435,Hangzhou
5,22,106,40.320754716981135,Hangzhou
5,23,14,7.285714285714286,Hangzhou
6,0,1,35.0,Hangzhou
6,5,47,133.46808510638297,Hangzhou
6,6,404,185.52722772277227,Hangzhou
6,7,32035,170.12748556266584,Hangzhou
6,8,89097,191.44649090317296,Hangzhou
6,9,31244,190.7188260145948,Hangzhou
6,10,12051,167.65994523276078,Hangzhou
6,11,5817,131.03541344335568,Hangzhou
6,12,4949,120.3426954940392,Hangzhou
6,13,7126,101.94274487791188,Hangzhou
6,14,12568,82.10749522597072,Hangzhou
6,15,35431,87.8484942564421,Hangzhou
6,16,19533,98.31526135258281,Hangzhou
6,17,9746,70.27139339216089,Hangzhou
6,18,6355,57.24358772619984,Hangzhou
6,19,2507,65.23254886318308,Hangzhou
6,20,847,62.49940968122786,Hangzhou
6,21,315,47.93015873015873,Hangzhou
6,22,92,40.33695652173913,Hangzhou
6,23,22,5.2727272727272725,Hangzhou
0,5,16,389.25,Yantai
0,6,197,344.2994923857868,Yantai
0,7,605,324.4198347107438,Yantai
0,8,4506,296.2671992898358,Yantai
0,9,4865,261.8343268242549,Yantai
0,10,9225,238.60650406504064,Yantai
0,11,4127,226.80566997819238,Yantai
0,12,1685,179.48902077151337,Yantai
0,13,925,178.9081081081081,Yantai
0,14,823,158.38517618469015,Yantai
0,15,418,118.22009569377991,Yantai
0,16,213,98.44600938967136,Yantai
0,17,164,104.28048780487805,Yantai
0,18,158,100.81012658227849,Yantai
0,19,56,57.05357142857143,Yantai
0,20,17,60.8235294117647,Yantai
0,21,10,72.5,Yantai
0,22,2,1.0,Yantai
1,6,19,232.47368421052633,Yantai
1,7,391,310.01278772378515,Yantai
1,8,4032,307.9982638888889,Yantai
1,9,5237,260.3572656100821,Yantai
1,10,8645,238.37767495662231,Yantai
1,11,4330,229.38175519630485,Yantai
1,12,1663,179.95249549007818,Yantai
1,13,1059,176.8677998111426,Yantai
1,14,701,156.14978601997146,Yantai
1,15,437,131.21281464530892,Yantai
1,16,278,119.56834532374101,Yantai
1,17,166,101.6566265060241,Yantai
1,18,79,74.24050632911393,Yantai
1,19,58,70.15517241379311,Yantai
1,20,26,40.76923076923077,Yantai
1,21,17,7.529411764705882,Yantai
1,22,3,2.3333333333333335,Yantai
1,23,2,3.0,Yantai
2,5,1,92.0,Yantai
2,6,1,226.0,Yantai
2,7,321,352.23364485981307,Yantai
2,8,3761,303.3967030045201,Yantai
2,9,5361,271.37119940309645,Yantai
2,10,9546,245.47014456316782,Yantai
2,11,4721,233.65198051260327,Yantai
2,12,1929,180.57646448937274,Yantai
2,13,967,161.84798345398139,Yantai
2,14,785,156.6687898089172,Yantai
2,15,618,134.2734627831715,Yantai
2,16,322,131.02173913043478,Yantai
2,17,211,102.76303317535545,Yantai
2,18,96,82.97916666666667,Yantai
2,19,48,28.125,Yantai
2,20,25,17.36,Yantai
2,21,22,116.13636363636364,Yantai
2,22,2,1.0,Yantai
3,5,8,402.875,Yantai
3,6,153,353.1503267973856,Yantai
3,7,828,302.95893719806764,Yantai
3,8,3999,302.7489372343086,Yantai
3,9,5539,273.22332551001983,Yantai
3,10,8864,240.44302797833936,Yantai
3,11,4514,231.27492246344704,Yantai
3,12,1819,180.84936778449696,Yantai
3,13,1052,185.14638783269962,Yantai
3,14,972,154.05246913580248,Yantai
3,15,534,134.09737827715355,Yantai
3,16,354,115.16666666666667,Yantai
3,17,151,81.0794701986755,Yantai
3,18,138,83.55797101449275,Yantai
3,19,79,56.29113924050633,Yantai
3,20,43,31.046511627906977,Yantai
3,21,13,15.0,Yantai
3,22,2,1.0,Yantai
3,23,1,2.0,Yantai
4,5,47,313.8085106382979,Yantai
4,6,410,367.86829268292684,Yantai
4,7,1084,322.27859778597787,Yantai
4,8,4697,304.1741537151373,Yantai
4,9,5193,281.1380704794916,Yantai
4,10,9373,242.28400725488103,Yantai
4,11,3987,235.91020817657386,Yantai
4,12,2157,186.65878535002318,Yantai
4,13,1233,181.96674776966748,Yantai
4,14,879,166.71103526734927,Yantai
4,15,746,142.94638069705093,Yantai
4,16,376,108.32712765957447,Yantai
4,17,243,100.25925925925925,Yantai
4,18,151,80.70860927152317,Yantai
4,19,66,58.86363636363637,Yantai
4,20,36,90.69444444444444,Yantai
4,21,21,20.428571428571427,Yantai
4,22,1,1.0,Yantai
5,5,35,321.9142857142857,Yantai
5,6,229,299.5589519650655,Yantai
5,7,972,361.858024691358,Yantai
5,8,4695,302.9030883919063,Yantai
5,9,5389,272.9012803859714,Yantai
5,10,8651,238.01606750664664,Yantai
5,11,4479,238.54766688993078,Yantai
5,12,1894,192.56916578669484,Yantai
5,13,1191,190.30478589420656,Yantai
5,14,794,153.2241813602015,Yantai
5,15,718,128.13370473537606,Yantai
5,16,344,126.29651162790698,Yantai
5,17,209,111.5933014354067,Yantai
5,18,227,98.75770925110132,Yantai
5,19,67,61.343283582089555,Yantai
5,20,56,52.17857142857143,Yantai
5,21,15,6.533333333333333,Yantai
5,22,7,6.142857142857143,Yantai
5,23,1,2.0,Yantai
6,5,30,371.23333333333335,Yantai
6,6,132,356.32575757575756,Yantai
6,7,902,312.80931263858093,Yantai
6,8,4661,297.8736322677537,Yantai
6,9,5435,273.69475620975163,Yantai
6,10,9179,231.5981043686676,Yantai
6,11,4348,232.81784728610856,Yantai
6,12,1955,193.0915601023018,Yantai
6,13,1030,162.95339805825242,Yantai
6,14,920,151.9945652173913,Yantai
6,15,478,141.10460251046024,Yantai
6,16,321,121.89408099688474,Yantai
6,17,201,90.88059701492537,Yantai
6,18,89,60.92134831460674,Yantai
6,19,62,47.24193548387097,Yantai
6,20,17,66.3529411764706,Yantai
6,21,18,13.38888888888889,Yantai
6,22,6,230.5,Yantai
